material_code,date,production_yield
CC-F12            ,25-09-2019,3315
CC-F12            ,31-10-2019,21594
CC-F12            ,01-11-2019,2742
CC-F12            ,14-11-2019,17504
CC-F12            ,15-11-2019,2496
CC-F12            ,06-12-2019,4402
CC-F12            ,09-12-2019,16598
CC-F12            ,06-01-2020,18692
CC-F12            ,07-01-2020,2308
CC-F12            ,20-01-2020,21000
CC-F12            ,12-03-2020,23000
CC-F12            ,15-04-2020,1303
CC-F12            ,16-04-2020,21697
CC-F12            ,01-05-2020,6043
CC-F12            ,04-05-2020,16957
CC-F13            ,29-07-2019,15200
CC-F13            ,30-07-2019,10800
CC-F13            ,07-08-2019,19000
CC-F13            ,09-09-2019,11570
CC-F13            ,10-09-2019,7430
CC-F13            ,23-09-2019,14340
CC-F13            ,24-09-2019,4660
CC-F13            ,30-10-2019,20000
CC-F13            ,04-02-2020,7636
CC-F13            ,05-02-2020,14364
CC-F13            ,01-04-2020,23000
CC-F14            ,31-07-2019,2400
CC-F14            ,01-08-2019,16600
CC-F14            ,05-08-2019,2800
CC-F14            ,06-08-2019,23200
CC-F14            ,06-09-2019,10893
CC-F14            ,09-09-2019,8107
CC-F14            ,19-09-2019,14736
CC-F14            ,20-09-2019,4264
CC-F14            ,04-10-2019,2095
CC-F14            ,07-10-2019,16905
CC-F14            ,01-11-2019,18136
CC-F14            ,04-11-2019,6067
CC-F14            ,15-11-2019,18382
CC-F14            ,18-11-2019,1618
CC-F14            ,10-12-2019,5138
CC-F14            ,11-12-2019,15862
CC-F14            ,24-12-2019,12544
CC-F14            ,25-12-2019,10220
CC-F14            ,08-01-2020,20670
CC-F14            ,09-01-2020,330
CC-F14            ,17-01-2020,21000
CC-F14            ,18-02-2020,12710
CC-F14            ,19-02-2020,9290
CC-F14            ,02-03-2020,23000
CC-F14            ,18-03-2020,23000
CC-F14            ,02-04-2020,23000
CC-F14            ,20-04-2020,2488
CC-F14            ,21-04-2020,20512
CC-F14            ,04-05-2020,6438
CC-F14            ,05-05-2020,16562
CC-F15            ,01-08-2019,3000
CC-F15            ,02-08-2019,25200
CC-F15            ,05-08-2019,16800
CC-F15            ,04-09-2019,9539
CC-F15            ,05-09-2019,9461
CC-F15            ,03-10-2019,750
CC-F15            ,04-10-2019,18250
CC-F15            ,04-11-2019,14811
CC-F15            ,05-11-2019,5189
CC-F15            ,13-11-2019,16626
CC-F15            ,14-11-2019,3374
CC-F15            ,09-12-2019,4770
CC-F15            ,10-12-2019,16230
CC-F15            ,23-12-2019,11555
CC-F15            ,24-12-2019,9445
CC-F15            ,31-01-2020,6462
CC-F15            ,03-02-2020,15538
CC-F15            ,20-03-2020,23000
CC-F15            ,17-04-2020,2093
CC-F15            ,20-04-2020,20907
CC-F16            ,30-07-2019,8800
CC-F16            ,31-07-2019,17200
CC-F16            ,08-08-2019,19000
CC-F16            ,05-09-2019,10216
CC-F16            ,06-09-2019,8784
CC-F16            ,20-09-2019,15413
CC-F16            ,23-09-2019,5337
CC-F16            ,07-10-2019,3440
CC-F16            ,08-10-2019,15560
CC-F16            ,05-11-2019,15689
CC-F16            ,06-11-2019,8642
CC-F16            ,18-11-2019,19260
CC-F16            ,19-11-2019,740
CC-F16            ,11-12-2019,5506
CC-F16            ,12-12-2019,15494
CC-F16            ,25-12-2019,11769
CC-F16            ,26-12-2019,9231
CC-F16            ,07-01-2020,19681
CC-F16            ,08-01-2020,1319
CC-F16            ,21-01-2020,1353
CC-F16            ,22-01-2020,19647
CC-F16            ,30-01-2020,5875
CC-F16            ,31-01-2020,16125
CC-F16            ,17-02-2020,11315
CC-F16            ,18-02-2020,10685
CC-F16            ,03-03-2020,23000
CC-F16            ,19-03-2020,23000
CC-F16            ,31-03-2020,23000
CC-F16            ,16-04-2020,1698
CC-F16            ,17-04-2020,21302
CC-F16            ,22-04-2020,3278
CC-F16            ,23-04-2020,19722
